dates,data_GDP,data_cc,data_IT
1984.25,0.0145910665082702,0.0113733624547114,0.0518619
1984.5,0.00692946193710986,0.00472397320684026,0.0438856
1984.75,0.00513882795756215,0.00983454075393997,0.035103
1985,0.00744474569390263,0.0146483021628248,0.0173482
1985.25,0.00638054440001889,0.00675292515022585,-0.0007117
1985.5,0.012534832303031,0.0161945057893482,-0.0065063
1985.75,0.00445445882667883,-0.000790124701727901,0.0071892
1986,0.00436021330101211,0.00376917003090282,-0.0027363
1986.25,0.00174292397647546,0.00808677650338696,-0.0066621
1986.5,0.00667247469009391,0.0146830890436989,0.0270398
1986.75,0.00243077758830657,0.00318869927640764,0.0206976
1987,0.0039219808126929,-0.00250543974714335,0.040862
1987.25,0.00784837530870419,0.0106715151284589,0.0395583
1987.5,0.00596095155801279,0.00867046287259754,0.0539309
