dates,data_GDP,data_cc,data_NASADoD
1981.25,-0.0107311062493736,-0.00322020918482657,0.0376500367066361
1981.5,0.00852228581074765,0.00123333480097854,0.0465272041265647
1981.75,-0.014339511237524,-0.0102478257823528,0.0542641080842876
1982,-0.0186161334406907,0.00438022044981823,0.0624432305149283
1982.25,0.00150663545702789,-3.5492043735097e-06,0.0357549302582749
1982.5,-0.00674240238246471,0.00376917845693603,0.0108048851691775
1982.75,-0.00263523968404433,0.0143306335342435,-0.0074688782865231
1983,0.0104434327936107,0.00718937665070296,-0.0265636914290468
1983.25,0.0198974249697428,0.0175546658502492,-0.0137334959874338
1983.5,0.0169691659953819,0.0149486139886652,-0.00390726610256209
1983.75,0.017779761635472,0.0129422623809203,0.01182120276306
1984,0.0152046557956491,0.00411013989017439,0.0213055552697523
1984.25,0.0145910665082702,0.0113733624547114,0.0211147126617253
